name,enabled,total_cycles,base_cycles,savings_pct,mapped_cycles,fallback_cycles,pe_utilization,gemm_utilization,effective_gops,activation_bytes,weight_bytes,output_bytes,descriptor_count,instruction_count,bmm_attached,fusion_groups
baseline,,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,0,0
pipeline,pipeline,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,0,0
fanout,fanout,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,0,0
tile_mask,tile_mask,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,0,0
order,order,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,24,0
act_reuse,act_reuse,155518927,155780495,0.16790805549821883,149097775,6421152,0.41514526395877205,0.43302420844308376,159.41578136016847,161740000,276530176,164575944,432,433,0,0
weight_reuse,weight_reuse,151996599,155780495,2.4289921533501353,145575447,6421152,0.42476572781737043,0.4435016160383145,163.11003948187025,161740000,276530176,164575944,432,433,0,0
overlap,overlap,76764416,155780495,50.72270376339477,70343264,6421152,0.8410530472869095,0.9178269862484629,322.96437015817327,161740000,276530176,164575944,432,433,0,0
write_coalesce,write_coalesce,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,0,0
fusion,fusion,155780495,155780495,0.0,149359343,6421152,0.41444820161856594,0.43226586769332537,159.14810942152934,161740000,276530176,164575944,432,433,0,0
vector_pipeline,vector_pipeline,154265055,155780495,0.9728047147365914,149359343,4905712,0.4185195798231816,0.43226586769332537,160.71151865210172,161740000,276530176,164575944,432,433,0,0
all_selected,"pipeline,fanout,tile_mask,order,act_reuse,weight_reuse,overlap,write_coalesce,fusion,vector_pipeline",75254992,155780495,51.69164663393835,70349280,4905712,0.8579224352319378,0.9177484972127646,329.4422151290641,161740000,276530176,164575944,432,433,24,0
reuse_plus_overlap,"order,act_reuse,weight_reuse,overlap,write_coalesce",76764416,155780495,50.72270376339477,70343264,6421152,0.8410530472869095,0.9178269862484629,322.96437015817327,161740000,276530176,164575944,432,433,24,0
