seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
0,text_encoder.bert.embeddings.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
1,text_encoder.bert.encoder.layer.0.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
2,text_encoder.bert.encoder.layer.0.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
3,text_encoder.bert.encoder.layer.0.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
4,text_encoder.bert.encoder.layer.0.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
5,text_encoder.bert.encoder.layer.0.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
6,text_encoder.bert.encoder.layer.0.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
7,text_encoder.bert.encoder.layer.0.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
8,text_encoder.bert.encoder.layer.0.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
9,text_encoder.bert.encoder.layer.1.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
10,text_encoder.bert.encoder.layer.1.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
11,text_encoder.bert.encoder.layer.1.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
12,text_encoder.bert.encoder.layer.1.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
13,text_encoder.bert.encoder.layer.1.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
14,text_encoder.bert.encoder.layer.1.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
15,text_encoder.bert.encoder.layer.1.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
16,text_encoder.bert.encoder.layer.1.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
17,text_encoder.bert.encoder.layer.2.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
18,text_encoder.bert.encoder.layer.2.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
19,text_encoder.bert.encoder.layer.2.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
20,text_encoder.bert.encoder.layer.2.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
21,text_encoder.bert.encoder.layer.2.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
22,text_encoder.bert.encoder.layer.2.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
23,text_encoder.bert.encoder.layer.2.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
24,text_encoder.bert.encoder.layer.2.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
25,text_encoder.bert.encoder.layer.3.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
26,text_encoder.bert.encoder.layer.3.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
27,text_encoder.bert.encoder.layer.3.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
28,text_encoder.bert.encoder.layer.3.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
29,text_encoder.bert.encoder.layer.3.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
30,text_encoder.bert.encoder.layer.3.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
31,text_encoder.bert.encoder.layer.3.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
32,text_encoder.bert.encoder.layer.3.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
33,text_encoder.bert.encoder.layer.4.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
34,text_encoder.bert.encoder.layer.4.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
35,text_encoder.bert.encoder.layer.4.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
36,text_encoder.bert.encoder.layer.4.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
37,text_encoder.bert.encoder.layer.4.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
38,text_encoder.bert.encoder.layer.4.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
39,text_encoder.bert.encoder.layer.4.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
