seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
0,text_encoder.bert.embeddings.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
1,text_encoder.bert.encoder.layer.0.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
2,text_encoder.bert.encoder.layer.0.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
3,text_encoder.bert.encoder.layer.0.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
4,text_encoder.bert.encoder.layer.0.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
5,text_encoder.bert.encoder.layer.0.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
6,text_encoder.bert.encoder.layer.0.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
7,text_encoder.bert.encoder.layer.0.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
8,text_encoder.bert.encoder.layer.0.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
9,text_encoder.bert.encoder.layer.1.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
10,text_encoder.bert.encoder.layer.1.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
11,text_encoder.bert.encoder.layer.1.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
12,text_encoder.bert.encoder.layer.1.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
13,text_encoder.bert.encoder.layer.1.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
