descriptor_id,source_seq,source_op,op,execution_unit,total_cycles,compute_cycles,read_cycles,write_cycles,mapped_cycles,fallback_cycles,valid_mac_count,active_pe_cycles,tile_count,activation_bytes,weight_bytes,output_bytes
0,0,lift_fresh,META_IDENTITY,meta_engine,12288,12288,12288,12288,12288,0,0,0,0,393216,0,393216
1,1,permute,LAYOUT,layout_engine,12292,12292,12288,12288,12292,0,0,0,0,393216,0,393216
2,2,sub,ADD,fp16_vector,12288,12288,12288,12288,12288,0,0,0,0,393216,0,393216
3,3,div,DIV,fp16_vector,12288,12288,12288,12288,12288,0,0,0,0,393216,0,393216
4,4,lift_fresh,META_IDENTITY,meta_engine,12288,12288,12288,12288,12288,0,0,0,0,393216,0,393216
5,5,permute,LAYOUT,layout_engine,12292,12292,12288,12288,12292,0,0,0,0,393216,0,393216
6,6,sub,ADD,fp16_vector,12288,12288,12288,12288,12288,0,0,0,0,393216,0,393216
7,7,div,DIV,fp16_vector,12288,12288,12288,12288,12288,0,0,0,0,393216,0,393216
8,8,stack,LAYOUT,layout_engine,12292,12292,12288,12288,12292,0,0,0,0,393216,0,393216
9,9,view,LAYOUT,layout_engine,24580,24580,24576,24576,24580,0,0,0,0,786432,0,786432
10,10,to,META_IDENTITY,meta_engine,24576,24576,24576,24576,24576,0,0,0,0,786432,0,786432
11,11,lift_fresh,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,16,0,16
12,12,to,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,16,0,16
13,13,stack,LAYOUT,layout_engine,5,5,1,1,5,0,0,0,0,16,0,16
14,14,to,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,16,0,16
15,15,to,META_IDENTITY,meta_engine,24576,24576,24576,24576,24576,0,0,0,0,786432,0,786432
16,16,to,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,16,0,16
17,17,zeros,FILL,memory_engine,5,5,1,1,5,0,0,0,0,2,0,2
18,18,eye,FILL,memory_engine,5,5,1,1,5,0,0,0,0,2,0,2
19,19,expand,LAYOUT,layout_engine,32,32,28,28,32,0,0,0,0,882,0,882
20,20,clone,META_IDENTITY,meta_engine,28,28,28,28,28,0,0,0,0,882,0,882
21,21,lift_fresh,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
22,22,detach_,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
23,23,lift_fresh,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
24,24,detach_,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
25,25,lift_fresh,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
26,26,detach_,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
27,27,to,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
28,28,to,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
29,29,to,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
30,30,zeros,FILL,memory_engine,5,5,1,1,5,0,0,0,0,2,0,2
31,31,to,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
32,32,eq,MASK,mask_engine,6,6,2,2,6,0,0,0,0,42,0,42
33,33,__ior__,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
34,34,eq,MASK,mask_engine,6,6,2,2,6,0,0,0,0,42,0,42
35,35,__ior__,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
36,36,eq,MASK,mask_engine,6,6,2,2,6,0,0,0,0,42,0,42
37,37,__ior__,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
38,38,eq,MASK,mask_engine,6,6,2,2,6,0,0,0,0,42,0,42
39,39,__ior__,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
40,40,nonzero,META_IDENTITY,meta_engine,2,2,2,2,2,0,0,0,0,42,0,42
41,41,eye,FILL,memory_engine,5,5,1,1,5,0,0,0,0,2,0,2
42,42,to,META_IDENTITY,meta_engine,28,28,28,28,28,0,0,0,0,882,0,882
43,43,unsqueeze,LAYOUT,layout_engine,32,32,28,28,32,0,0,0,0,882,0,882
44,44,repeat,LAYOUT,layout_engine,32,32,28,28,32,0,0,0,0,882,0,882
45,45,zeros,FILL,memory_engine,5,5,1,1,5,0,0,0,0,2,0,2
46,46,select,LAYOUT,layout_engine,5,5,1,1,5,0,0,0,0,8,0,8
47,47,unbind,LAYOUT,layout_engine,5,5,1,1,5,0,0,0,0,4,0,4
48,48,eq,MASK,mask_engine,5,5,1,1,5,0,0,0,0,2,0,2
49,49,is_nonzero,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
50,50,lift_fresh,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
51,51,item,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
52,52,select,LAYOUT,layout_engine,32,32,28,28,32,0,0,0,0,882,0,882
53,53,item,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
54,54,select,LAYOUT,layout_engine,32,32,28,28,32,0,0,0,0,882,0,882
55,55,item,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
56,56,select,LAYOUT,layout_engine,6,6,2,2,6,0,0,0,0,42,0,42
57,57,copy_,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
58,58,lift_fresh,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
59,59,item,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
60,60,select,LAYOUT,layout_engine,6,6,2,2,6,0,0,0,0,42,0,42
61,61,item,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
62,62,select,LAYOUT,layout_engine,6,6,2,2,6,0,0,0,0,42,0,42
63,63,copy_,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
64,64,select,LAYOUT,layout_engine,5,5,1,1,5,0,0,0,0,8,0,8
65,65,unbind,LAYOUT,layout_engine,5,5,1,1,5,0,0,0,0,4,0,4
66,66,eq,MASK,mask_engine,5,5,1,1,5,0,0,0,0,2,0,2
67,67,is_nonzero,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
68,68,eq,MASK,mask_engine,5,5,1,1,5,0,0,0,0,2,0,2
69,69,is_nonzero,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
70,70,lift_fresh,META_IDENTITY,meta_engine,2,2,1,1,2,0,0,0,0,2,0,2
