descriptor_id,source_seq,op,mapping,total_cycles,mapped_cycles,fallback_cycles,compute_cycles,read_cycles,write_cycles,snapshot_cycles,requant_cycles,valid_mac_count,active_pe_cycles,tile_count,activation_bytes,weight_bytes,output_bytes
0,0,AUX_EVENT,aux_behavior,36864,0,36864,0,1,12288,0,0,0,0,0,1,0,196608
1,1,LAYOUT,layout_rtl,24576,0,24576,0,1,12288,0,0,0,0,0,1,0,196608
2,2,ADD,vector_rtl,24576,0,24576,0,1,12288,0,0,0,0,0,1,0,196608
3,3,DIV,vector_rtl,24576,0,24576,0,1,12288,0,0,0,0,0,1,0,196608
4,4,AUX_EVENT,aux_behavior,36864,0,36864,0,1,12288,0,0,0,0,0,1,0,196608
5,5,LAYOUT,layout_rtl,24576,0,24576,0,1,12288,0,0,0,0,0,1,0,196608
6,6,ADD,vector_rtl,24576,0,24576,0,1,12288,0,0,0,0,0,1,0,196608
7,7,DIV,vector_rtl,24576,0,24576,0,1,12288,0,0,0,0,0,1,0,196608
8,8,AUX_EVENT,aux_behavior,36864,0,36864,0,1,12288,0,0,0,0,0,1,0,196608
9,9,LAYOUT,layout_rtl,49152,0,49152,0,1,24576,0,0,0,0,0,1,0,393216
10,10,AUX_EVENT,aux_behavior,73728,0,73728,0,1,24576,0,0,0,0,0,1,0,393216
11,11,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,8
12,12,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,8
13,13,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,8
14,14,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,8
15,15,AUX_EVENT,aux_behavior,73728,0,73728,0,1,24576,0,0,0,0,0,1,0,393216
16,16,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,8
17,17,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,1
18,18,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,1
19,19,LAYOUT,layout_rtl,56,0,56,0,1,28,0,0,0,0,0,1,0,441
20,20,AUX_EVENT,aux_behavior,84,0,84,0,1,28,0,0,0,0,0,1,0,441
21,21,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
22,22,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
23,23,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
24,24,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
25,25,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
26,26,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
27,27,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
28,28,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
29,29,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
30,30,AUX_EVENT,aux_behavior,16,0,16,0,1,1,0,0,0,0,0,1,0,1
31,31,AUX_EVENT,aux_behavior,16,0,16,0,1,2,0,0,0,0,0,1,0,21
