mode,suite,policy_calls,median_ms,p90_ms,process_elapsed_s
fp32,libero_10,147,137.27112859487534,145.57323791086674,113.12804433889687
fp32,libero_goal,71,137.7414371818304,143.68516765534878,61.42239757440984
fp32,libero_object,68,134.26168635487556,143.0100854486227,62.40378459356725
fp32,libero_spatial,60,139.2994038760662,145.6430535763502,66.60787784866989
w8a16,libero_10,155,162.95980848371983,171.48985527455807,121.240544045344
w8a16,libero_goal,70,166.21653828769922,184.59361791610718,63.90759059973061
w8a16,libero_object,67,161.2869556993246,170.51834240555763,63.4613399207592
w8a16,libero_spatial,56,165.51116667687893,174.82640221714973,63.99528552033007
w8a8,libero_10,239,161.91194020211697,171.72366194427013,168.75948926061392
w8a8,libero_goal,150,162.32947167009115,170.81130482256413,108.96009503863752
w8a8,libero_object,123,162.13583759963512,173.75823482871056,122.12240677699447
w8a8,libero_spatial,105,165.93395359814167,174.73236098885536,96.67739471234381
w8afp16,libero_10,142,85.27403604239225,94.89046782255173,105.28136668913066
w8afp16,libero_goal,88,96.10751457512379,102.1059863269329,68.46434538066387
w8afp16,libero_object,68,85.44948790222406,92.90479123592377,60.70051367022097
w8afp16,libero_spatial,62,83.43569654971361,88.22212927043438,63.115291671827435
