mode,suite,task_id,successes,episodes,success_rate
fp32,libero_10,0,3,3,1.0
fp32,libero_10,1,3,3,1.0
fp32,libero_goal,0,2,3,0.6666666666666666
fp32,libero_goal,1,3,3,1.0
fp32,libero_object,0,3,3,1.0
fp32,libero_object,1,3,3,1.0
fp32,libero_spatial,0,3,3,1.0
fp32,libero_spatial,1,2,3,0.6666666666666666
w8a16,libero_10,0,2,3,0.6666666666666666
w8a16,libero_10,1,3,3,1.0
w8a16,libero_goal,0,2,3,0.6666666666666666
w8a16,libero_goal,1,3,3,1.0
w8a16,libero_object,0,3,3,1.0
w8a16,libero_object,1,3,3,1.0
w8a16,libero_spatial,0,3,3,1.0
w8a16,libero_spatial,1,3,3,1.0
w8a8,libero_10,0,0,3,0.0
w8a8,libero_10,1,2,3,0.6666666666666666
w8a8,libero_goal,0,0,3,0.0
w8a8,libero_goal,1,0,3,0.0
w8a8,libero_object,0,2,3,0.6666666666666666
w8a8,libero_object,1,2,3,0.6666666666666666
w8a8,libero_spatial,0,0,3,0.0
w8a8,libero_spatial,1,1,3,0.3333333333333333
w8afp16,libero_10,0,3,3,1.0
w8afp16,libero_10,1,3,3,1.0
w8afp16,libero_goal,0,2,3,0.6666666666666666
w8afp16,libero_goal,1,2,3,0.6666666666666666
w8afp16,libero_object,0,3,3,1.0
w8afp16,libero_object,1,3,3,1.0
w8afp16,libero_spatial,0,3,3,1.0
w8afp16,libero_spatial,1,2,3,0.6666666666666666
