mode,module,op,calls,m,n,k,batch,groups,int8_operand_bytes,a16_reference_operand_bytes,fp32_scale_bytes,int32_partial_bytes,spill_roundtrip_bytes,scale_merge_multiplications,scale_pair_multiplications,scale_merge_additions,dynamic_absmax_elements,dynamic_clipping_trial_elements,macs,array_ideal_cycles_1536mac,merge_cycles_if_24values_per_cycle,weight_static
group_128,text_encoder.bert.encoder.layer.0.attention.self.query,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.0.attention.self.key,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.0.attention.self.value,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.0.attention.self,attention_qk,72,21,21,64,12,1,32256,64512,2016,21168,42336,5292,5292,0,32256,0,338688,220.5,220.5,False
group_128,text_encoder.bert.encoder.layer.0.attention.self,attention_av,72,21,64,21,12,1,21420,42840,4080,64512,129024,16128,16128,0,21420,0,338688,220.5,672.0,False
group_128,text_encoder.bert.encoder.layer.0.attention.output.dense,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.0.intermediate.dense,linear,72,21,3072,768,1,6,2375424,2391552,74232,1548288,3096576,387072,387072,322560,16128,0,49545216,32256.0,16128.0,True
group_128,text_encoder.bert.encoder.layer.0.output.dense,linear,72,21,768,3072,1,24,2423808,2488320,75744,1548288,3096576,387072,387072,370944,64512,0,49545216,32256.0,16128.0,True
group_128,text_encoder.bert.encoder.layer.1.attention.self.query,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.1.attention.self.key,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.1.attention.self.value,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.1.attention.self,attention_qk,72,21,21,64,12,1,32256,64512,2016,21168,42336,5292,5292,0,32256,0,338688,220.5,220.5,False
group_128,text_encoder.bert.encoder.layer.1.attention.self,attention_av,72,21,64,21,12,1,21420,42840,4080,64512,129024,16128,16128,0,21420,0,338688,220.5,672.0,False
group_128,text_encoder.bert.encoder.layer.1.attention.output.dense,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
group_128,text_encoder.bert.encoder.layer.1.intermediate.dense,linear,72,21,3072,768,1,6,2375424,2391552,74232,1548288,3096576,387072,387072,322560,16128,0,49545216,32256.0,16128.0,True
group_128,text_encoder.bert.encoder.layer.1.output.dense,linear,72,21,768,3072,1,24,2423808,2488320,75744,1548288,3096576,387072,387072,370944,64512,0,49545216,32256.0,16128.0,True
group_128,text_encoder.bert.encoder.layer.2.attention.self.query,linear,72,21,768,768,1,6,605952,622080,18936,387072,774144,96768,96768,80640,16128,0,12386304,8064.0,4032.0,True
