module,op,shape,tensor_a_zero_fraction,tensor_b_zero_fraction,tensor_a_endpoint_fraction,tensor_b_endpoint_fraction,tensor_output_nrmse,tensor_output_mae,tensor_output_max,token_a_zero_fraction,token_b_zero_fraction,token_a_endpoint_fraction,token_b_endpoint_fraction,token_output_nrmse,token_output_mae,token_output_max,group_32_a_zero_fraction,group_32_b_zero_fraction,group_32_a_endpoint_fraction,group_32_b_endpoint_fraction,group_32_output_nrmse,group_32_output_mae,group_32_output_max
action_head.decoder.decoder.layers.0.multihead_attn,attention_av,"[1, 8, 12, 535] x [1, 8, 535, 32]",0.8961448073387146,0.0070677571929991245,1.9470404367893934e-05,0.0021028039045631886,0.589176595211029,0.16107948124408722,1.2699275016784668,0.13039329648017883,0.006571261677891016,0.002102803671732545,0.0020516940858215094,0.04125465452671051,0.004482487216591835,0.26782095432281494,0.0166015625,0.019021427258849144,0.03454350680112839,0.03412942215800285,0.001644688076339662,0.0002952762588392943,0.0153418630361557
vision_encoder.backbone.layer.10.mlp.up_proj,linear,"[1, 261, 768] x [768, 3072]",0.8050267100334167,0.0117323137819767,4.988824912288692e-06,0.001354217529296875,0.530150294303894,0.6348060369491577,4.859130859375,0.028775542974472046,0.0117323137819767,0.0013419939205050468,0.001354217529296875,0.018959974870085716,0.01632789336144924,1.1756904125213623,0.009573554620146751,0.007599724922329187,0.03161418437957764,0.0318044014275074,0.007522462867200375,0.008332459256052971,0.31941652297973633
vision_encoder.backbone.layer.4.mlp.down_proj,linear,"[1, 261, 3072] x [3072, 768]",0.9298009872436523,0.017519209533929825,1.247206228072173e-06,0.000335693359375,0.516937255859375,0.4342448115348816,5.622313499450684,0.11266637593507767,0.017519209533929825,0.000337992882123217,0.000335693359375,0.038770366460084915,0.02084191143512726,3.3037710189819336,0.05046570673584938,0.008647494949400425,0.03378432244062424,0.03172047808766365,0.009441370144486427,0.007503915578126907,0.19404947757720947
action_head.decoder.decoder.layers.1.multihead_attn,attention_av,"[1, 8, 12, 535] x [1, 8, 535, 32]",0.8378698825836182,0.007184579502791166,1.9470404367893934e-05,0.0020224882755428553,0.4832914471626282,0.13408172130584717,0.970960259437561,0.11341510713100433,0.00668078288435936,0.0019859811291098595,0.002132009482011199,0.032705266028642654,0.0038921870291233063,0.1781165897846222,0.01656326651573181,0.019200941547751427,0.03370098024606705,0.034050438553094864,0.0013371504610404372,0.0002672528207767755,0.008021563291549683
vision_encoder.backbone.layer.9.mlp.up_proj,linear,"[1, 261, 768] x [768, 3072]",0.7131325602531433,0.01178020890802145,4.988824912288692e-06,0.0013563368702307343,0.4565025866031647,0.46141937375068665,3.515547513961792,0.029468988999724388,0.01178020890802145,0.0013070721179246902,0.0013563368702307343,0.02270597219467163,0.015639066696166992,1.1728827953338623,0.009483756497502327,0.0076671177521348,0.03175387158989906,0.031817544251680374,0.00788911059498787,0.0076538389548659325,0.26531505584716797
vision_encoder.backbone.layer.8.mlp.up_proj,linear,"[1, 261, 768] x [768, 3072]",0.7599925994873047,0.011743334122002125,4.988824912288692e-06,0.0013440450420603156,0.45015087723731995,0.4136277735233307,3.5199313163757324,0.03384917601943016,0.011743334122002125,0.0013220385881140828,0.0013440450420603156,0.022608181461691856,0.014448233880102634,1.2135131359100342,0.01040169969201088,0.00763617642223835,0.03171395882964134,0.03179677203297615,0.007962357252836227,0.006901692599058151,0.2678956985473633
vision_encoder.backbone.layer.5.mlp.up_proj,linear,"[1, 261, 768] x [768, 3072]",0.7777727842330933,0.013379414565861225,4.988824912288692e-06,0.0013385348720476031,0.42884430289268494,0.33838313817977905,2.662689208984375,0.03774046152830124,0.013379414565861225,0.0013120609801262617,0.0013385348720476031,0.022440992295742035,0.012955812737345695,1.0762650966644287,0.011783604510128498,0.008320702239871025,0.031579263508319855,0.031794656068086624,0.007616758346557617,0.005980447866022587,0.21423107385635376
vision_encoder.backbone.layer.6.mlp.up_proj,linear,"[1, 261, 768] x [768, 3072]",0.7295258641242981,0.013036091811954975,4.988824912288692e-06,0.0013508267002180219,0.41380560398101807,0.3522680103778839,2.8813421726226807,0.0390625,0.013036091811954975,0.0013170497259125113,0.0013508267002180219,0.02443143166601658,0.014101257547736168,1.1700043678283691,0.011788593605160713,0.00816938653588295,0.03162914887070656,0.031779397279024124,0.007917211391031742,0.006227236241102219,0.2211284637451172
vision_encoder.backbone.layer.7.mlp.up_proj,linear,"[1, 261, 768] x [768, 3072]",0.7236539721488953,0.01265631802380085,4.988824912288692e-06,0.0013474358711391687,0.4051504135131836,0.3485623300075531,3.447455644607544,0.03975095599889755,0.01265631802380085,0.0013120609801262617,0.0013474358711391687,0.023661980405449867,0.0150923365727067,0.9875555038452148,0.01149425283074379,0.0079867048189044,0.0316341370344162,0.031739551573991776,0.008101481013000011,0.006691610906273127,0.21240007877349854
action_head.decoder.decoder.layers.2.multihead_attn,attention_av,"[1, 8, 12, 535] x [1, 8, 535, 32]",0.526635468006134,0.007206483744084835,1.9470404367893934e-05,0.00200058426707983,0.21765069663524628,0.06264419853687286,0.4717986285686493,0.10858644545078278,0.006549357902258635,0.0019080996280536056,0.002117406576871872,0.018686069175601006,0.002831007121130824,0.07482840865850449,0.016659008339047432,0.019021427258849144,0.033930759876966476,0.03396426886320114,0.0010800976306200027,0.0002443578268866986,0.004145026206970215
